[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:02:09 | ~01:30:46 left] [Ep 117] Reward: 204.94 | Coverage: 53.3% | Eps: 0.972 | Loss: 0.0000
[+00:02:10 | ~01:30:45 left] [Ep 118] Reward: 153.42 | Coverage: 51.9% | Eps: 0.972 | Loss: 0.0000
[+00:02:11 | ~01:30:44 left] [Ep 119] Reward: 425.10 | Coverage: 67.3% | Eps: 0.972 | Loss: 0.0000
[+00:02:12 | ~01:30:43 left] [Ep 120] Reward: 356.76 | Coverage: 53.6% | Eps: 0.972 | Loss: 0.0000
[+00:02:13 | ~01:30:42 left] [Ep 121] Reward: 320.59 | Coverage: 50.7% | Eps: 0.971 | Loss: 0.0000
[+00:02:15 | ~01:30:41 left] [Ep 122] Reward: 389.82 | Coverage: 60.2% | Eps: 0.971 | Loss: 0.0000
[+00:02:16 | ~01:30:40 left] [Ep 123] Reward: 303.07 | Coverage: 56.9% | Eps: 0.971 | Loss: 0.0000
[+00:02:17 | ~01:30:39 left] [Ep 124] Reward: 354.49 | Coverage: 55.6% | Eps: 0.971 | Loss: 0.0000
[+00:02:18 | ~01:30:37 left] [Ep 125] Reward: 334.05 | Coverage: 61.1% | Eps: 0.970 | Loss: 0.0000
[+00:02:19 | ~01:30:36 left] [Ep 126] Reward: 365.23 | Coverage: 59.2% | Eps: 0.970 | Loss: 0.0000
[+00:02:20 | ~01:30:35 left] [Ep 127] Reward: 303.33 | Coverage: 58.4% | Eps: 0.970 | Loss: 0.0000
[+00:02:21 | ~01:30:34 left] [Ep 128] Reward: 247.42 | Coverage: 62.3% | Eps: 0.970 | Loss: 0.0000
[+00:02:22 | ~01:30:33 left] [Ep 129] Reward: 178.27 | Coverage: 57.9% | Eps: 0.969 | Loss: 0.0000
[+00:02:24 | ~01:30:32 left] [Ep 130] Reward: 358.45 | Coverage: 52.1% | Eps: 0.969 | Loss: 0.0000
[+00:02:25 | ~01:30:31 left] [Ep 131] Reward: 238.78 | Coverage: 53.8% | Eps: 0.969 | Loss: 0.0000
[+00:02:26 | ~01:30:29 left] [Ep 132] Reward: 169.86 | Coverage: 52.7% | Eps: 0.969 | Loss: 0.0000
[+00:02:27 | ~01:30:28 left] [Ep 133] Reward: 456.41 | Coverage: 57.4% | Eps: 0.968 | Loss: 0.0000
[+00:02:28 | ~01:30:27 left] [Ep 134] Reward: 306.84 | Coverage: 49.2% | Eps: 0.968 | Loss: 0.0000
[+00:02:29 | ~01:30:26 left] [Ep 135] Reward: 479.12 | Coverage: 44.4% | Eps: 0.968 | Loss: 0.0000
[+00:02:30 | ~01:30:25 left] [Ep 136] Reward: 87.12 | Coverage: 56.6% | Eps: 0.968 | Loss: 0.0000
[+00:02:31 | ~01:30:24 left] [Ep 137] Reward: 293.47 | Coverage: 47.5% | Eps: 0.967 | Loss: 0.0000
[+00:02:32 | ~01:30:23 left] [Ep 138] Reward: 440.14 | Coverage: 43.6% | Eps: 0.967 | Loss: 0.0000
[+00:02:33 | ~01:30:22 left] [Ep 139] Reward: 121.73 | Coverage: 58.5% | Eps: 0.967 | Loss: 0.0000
[+00:02:35 | ~01:30:21 left] [Ep 140] Reward: 326.92 | Coverage: 51.5% | Eps: 0.967 | Loss: 0.0000
[+00:02:36 | ~01:30:20 left] [Ep 141] Reward: 390.32 | Coverage: 59.3% | Eps: 0.967 | Loss: 0.0000
[+00:02:37 | ~01:30:18 left] [Ep 142] Reward: 325.13 | Coverage: 52.7% | Eps: 0.966 | Loss: 0.0000
[+00:02:38 | ~01:30:17 left] [Ep 143] Reward: 230.17 | Coverage: 48.9% | Eps: 0.966 | Loss: 0.0000
[+00:02:39 | ~01:30:16 left] [Ep 144] Reward: 611.93 | Coverage: 48.1% | Eps: 0.966 | Loss: 0.0000
[+00:02:40 | ~01:30:15 left] [Ep 145] Reward: 359.05 | Coverage: 52.8% | Eps: 0.966 | Loss: 0.0000
[+00:02:41 | ~01:30:14 left] [Ep 146] Reward: 444.32 | Coverage: 54.3% | Eps: 0.965 | Loss: 0.0000
[+00:02:42 | ~01:30:13 left] [Ep 147] Reward: 306.71 | Coverage: 50.8% | Eps: 0.965 | Loss: 0.0000
[+00:02:43 | ~01:30:12 left] [Ep 148] Reward: 247.81 | Coverage: 54.3% | Eps: 0.965 | Loss: 0.0000
[+00:02:44 | ~01:30:11 left] [Ep 149] Reward: 440.87 | Coverage: 46.3% | Eps: 0.965 | Loss: 0.0000
[+00:02:46 | ~01:30:10 left] [Ep 150] Reward: 357.56 | Coverage: 56.2% | Eps: 0.964 | Loss: 0.0000
[+00:02:47 | ~01:30:09 left] [Ep 151] Reward: 376.19 | Coverage: 44.6% | Eps: 0.964 | Loss: 0.0000
[+00:02:48 | ~01:30:07 left] [Ep 152] Reward: 363.95 | Coverage: 54.9% | Eps: 0.964 | Loss: 0.0000
[+00:02:49 | ~01:30:06 left] [Ep 153] Reward: 254.03 | Coverage: 60.6% | Eps: 0.964 | Loss: 0.0000
